Year,hhi_norm,entropy_norm,entity,threshold,threshold_label
2021,0.15284330124317116,2.1258060993253505,Publisher,5.0,>= 5 games
2022,0.15620947404351151,2.109334347959255,Publisher,5.0,>= 5 games
2023,0.1532784728455344,2.1184266484946916,Publisher,5.0,>= 5 games
1990,0.14643083630395773,2.249590398180697,Publisher,10.0,>= 10 games
1991,0.14309524369846857,2.2540387518706972,Publisher,10.0,>= 10 games
1992,0.14016320758233922,2.242741905798416,Publisher,10.0,>= 10 games
1993,0.13512628600908033,2.277103691711913,Publisher,10.0,>= 10 games
1994,0.14423352107649737,2.2529334363587883,Publisher,10.0,>= 10 games
1995,0.15065249245675277,2.2527009820449573,Publisher,10.0,>= 10 games
1996,0.14194331082112951,2.284516600834002,Publisher,10.0,>= 10 games
1997,0.15140906288080871,2.249569168899023,Publisher,10.0,>= 10 games
1998,0.14334650253038272,2.313480250014376,Publisher,10.0,>= 10 games
1999,0.14445047124107294,2.310618865424324,Publisher,10.0,>= 10 games
2000,0.1443214160829357,2.285771572574567,Publisher,10.0,>= 10 games
2001,0.14620171557807912,2.2883346969179343,Publisher,10.0,>= 10 games
2002,0.14406957254514918,2.3485073239279717,Publisher,10.0,>= 10 games
2003,0.13142942552394743,2.3480601815797626,Publisher,10.0,>= 10 games
2004,0.14503279306075337,2.2790053439243287,Publisher,10.0,>= 10 games
2005,0.14647454227967552,2.2813763992132614,Publisher,10.0,>= 10 games
2006,0.1492862041714268,2.297131516739479,Publisher,10.0,>= 10 games
2007,0.1386108316301121,2.313708278516185,Publisher,10.0,>= 10 games
2008,0.15764702664698402,2.218745399079274,Publisher,10.0,>= 10 games
2009,0.1632274605705235,2.179475209665147,Publisher,10.0,>= 10 games
2010,0.16890383555267605,2.1298242628531283,Publisher,10.0,>= 10 games
2011,0.1669564416070196,2.08725650001907,Publisher,10.0,>= 10 games
2012,0.17397420104171113,2.059926046917283,Publisher,10.0,>= 10 games
2013,0.1800524652576875,2.00100519289604,Publisher,10.0,>= 10 games
2014,0.16845209859063098,2.0683511112692217,Publisher,10.0,>= 10 games
2015,0.17026219858380376,2.0698830664721988,Publisher,10.0,>= 10 games
2016,0.16488978757223471,2.113712720017016,Publisher,10.0,>= 10 games
2017,0.1623346059241915,2.121120462082448,Publisher,10.0,>= 10 games
2018,0.15203725629403175,2.1842163070310225,Publisher,10.0,>= 10 games
2019,0.1428524419047349,2.2443062257544413,Publisher,10.0,>= 10 games
2020,0.14383226579184266,2.2178726622919327,Publisher,10.0,>= 10 games
2021,0.1459899226707956,2.225562301758789,Publisher,10.0,>= 10 games
2022,0.14699591691272162,2.217160206408743,Publisher,10.0,>= 10 games
2023,0.14727865516786073,2.2099290861553635,Publisher,10.0,>= 10 games
